route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IC_003,DAILY,IC531_1,Bari Centrale,IC 531,0,B025,SH019,1,1
IC_003,DAILY,IC532_1,Roma Termini,IC 532,1,B026,SH020,1,1
IC_004,DAILY,IC507_1,Bari Centrale,IC 507,0,B027,SH021,1,1
IC_004,DAILY,IC508_1,Bologna Centrale,IC 508,1,B028,SH022,1,1
IC_005,DAILY,IC1501_1,Reggio Calabria C.,IC 1501,0,B029,SH023,1,1
IC_005,DAILY,IC1502_1,Roma Termini,IC 1502,1,B030,SH024,1,1
ICN_001,DAILY,ICN1959_1,Palermo Centrale,ICN 1959,0,B031,SH025,1,1
ICN_001,DAILY,ICN1958_1,Milano Centrale,ICN 1958,1,B032,SH026,1,1
ICN_002,DAILY,ICN1951_1,Lecce,ICN 1951,0,B033,SH027,1,1
ICN_002,DAILY,ICN1952_1,Torino P.N.,ICN 1952,1,B034,SH028,1,1
REG_LAZ01,DAILY,FL1_001,Fiumicino Aeroporto,FL1,0,B035,SH029,1,1
REG_LAZ01,DAILY,FL1_002,Roma Tiburtina,FL1,1,B036,SH030,1,1
REG_LAZ01,DAILY,FL1_003,Fiumicino Aeroporto,FL1,0,B037,SH029,1,1
REG_LAZ01,DAILY,FL1_004,Roma Tiburtina,FL1,1,B038,SH030,1,1
REG_LAZ02,DAILY,FL2_001,Viterbo P.F.,FL2,0,B039,SH031,1,1
REG_LAZ02,DAILY,FL2_002,Roma Tiburtina,FL2,1,B040,SH032,1,1
REG_LOM01,WEEKDAY,S1_001,Lodi,S1,0,B041,SH033,1,1
REG_LOM01,WEEKDAY,S1_002,Saronno,S1,1,B042,SH034,1,1
REG_LOM01,WEEKDAY,S1_003,Lodi,S1,0,B043,SH033,1,1
REG_LOM01,WEEKDAY,S1_004,Saronno,S1,1,B044,SH034,1,1
REG_LOM02,WEEKDAY,S2_001,Milano Bovisa,S2,0,B045,SH035,1,1
REG_LOM02,WEEKDAY,S2_002,Milano Rogoredo,S2,1,B046,SH036,1,1
REG_LOM05,WEEKDAY,S5_001,Treviglio,S5,0,B047,SH037,1,1
REG_LOM05,WEEKDAY,S5_002,Varese,S5,1,B048,SH038,1,1
REG_PIE01,DAILY,SFM1_001,Asti,SFM1,0,B049,SH039,1,1
REG_PIE01,DAILY,SFM1_002,Torino P.N.,SFM1,1,B050,SH040,1,1
REG_TOS01,DAILY,REG_4001,Livorno Centrale,REG 4001,0,B051,SH041,1,1
REG_TOS01,DAILY,REG_4002,Firenze S.M.N.,REG 4002,1,B052,SH042,1,1
REG_TOS01,DAILY,REG_4003,Livorno Centrale,REG 4003,0,B053,SH041,1,1
REG_TOS01,DAILY,REG_4004,Firenze S.M.N.,REG 4004,1,B054,SH042,1,1
REG_EMR01,DAILY,REG_2001,Rimini,REG 2001,0,B055,SH043,1,1
REG_EMR01,DAILY,REG_2002,Bologna Centrale,REG 2002,1,B056,SH044,1,1
REG_VEN01,DAILY,REG_3001,Verona P.N.,REG 3001,0,B057,SH045,1,1
REG_VEN01,DAILY,REG_3002,Venezia S.L.,REG 3002,1,B058,SH046,1,1
REG_CAM01,DAILY,REG_5001,Battipaglia,REG 5001,0,B059,SH047,1,1
REG_CAM01,DAILY,REG_5002,Napoli Centrale,REG 5002,1,B060,SH048,1,1
REG_PUG01,DAILY,REG_6001,Foggia,REG 6001,0,B061,SH049,1,1
REG_PUG01,DAILY,REG_6002,Bari Centrale,REG 6002,1,B062,SH050,1,1
REG_PUG02,DAILY,REG_6101,Lecce,REG 6101,0,B063,SH051,1,1
REG_PUG02,DAILY,REG_6102,Bari Centrale,REG 6102,1,B064,SH052,1,1
REG_SIC01,DAILY,REG_7001,Messina Centrale,REG 7001,0,B065,SH053,1,1
REG_SIC01,DAILY,REG_7002,Palermo Centrale,REG 7002,1,B066,SH054,1,1
REG_SAR01,DAILY,REG_8001,Sassari,REG 8001,0,B067,SH055,1,1
REG_SAR01,DAILY,REG_8002,Cagliari,REG 8002,1,B068,SH056,1,1
ITALO_01,DAILY,NTV8975_1,Napoli Centrale,NTV 8975,0,B069,SH057,1,0
ITALO_01,DAILY,NTV8976_1,Milano Centrale,NTV 8976,1,B070,SH058,1,0
ITALO_02,DAILY,NTV8983_1,Napoli Centrale,NTV 8983,0,B071,SH059,1,0
ITALO_02,DAILY,NTV8984_1,Torino P.N.,NTV 8984,1,B072,SH060,1,0
