stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
83055,RIM,Rimini,Stazione di Rimini,44.0678,12.5664,RN,,1,,Europe/Rome,1
83056,BER,Bergamo,Stazione di Bergamo,45.6906,9.6741,BG,,1,,Europe/Rome,1
83057,BRE,Brescia,Stazione di Brescia,45.5308,10.2127,BS,,1,,Europe/Rome,1
83058,MAN,Mantova,Stazione di Mantova,45.1564,10.7914,MN,,1,,Europe/Rome,1
83059,CRE,Cremona,Stazione di Cremona,45.1336,10.0422,CR,,1,,Europe/Rome,1
83060,VAR,Varese,Stazione di Varese,45.8205,8.8249,VA,,1,,Europe/Rome,1
83061,COM,Como,Stazione di Como,45.8081,9.0852,CO,,1,,Europe/Rome,1
83062,LEC_LOM,Lecco,Stazione di Lecco,45.8559,9.3934,LC,,1,,Europe/Rome,1
83063,SON,Sondrio,Stazione di Sondrio,46.1702,9.8740,SO,,1,,Europe/Rome,1
83064,NOV,Novara,Stazione di Novara,45.4484,8.6178,NO,,1,,Europe/Rome,1
83065,ALB,Alba,Stazione di Alba,44.7007,8.0355,CN,,1,,Europe/Rome,1
83066,AST,Asti,Stazione di Asti,44.8998,8.2063,AT,,1,,Europe/Rome,1
83067,CUN,Cuneo,Stazione di Cuneo,44.3841,7.5441,CN,,1,,Europe/Rome,1
83068,BIE,Biella,Stazione di Biella,45.5650,8.0546,BI,,1,,Europe/Rome,1
83069,VER_PIE,Vercelli,Stazione di Vercelli,45.3237,8.4150,VC,,1,,Europe/Rome,1
83070,AOS,Aosta,Stazione di Aosta,45.7372,7.3154,AO,,1,,Europe/Rome,1
83071,IMP,Imperia,Stazione di Imperia,43.8850,8.0307,IM,,1,,Europe/Rome,1
83072,SAV,Savona,Stazione di Savona,44.3076,8.4814,SV,,1,,Europe/Rome,1
83073,LAP,La Spezia Centrale,Stazione Centrale di La Spezia,44.1076,9.8235,SP,,1,,Europe/Rome,1
83074,MAS,Massa,Stazione di Massa,44.0369,10.1414,MS,,1,,Europe/Rome,1
83075,LUC,Lucca,Stazione di Lucca,43.8435,10.5029,LU,,1,,Europe/Rome,1
83076,PIS,Pistoia,Stazione di Pistoia,43.9334,10.9176,PT,,1,,Europe/Rome,1
83077,PRA,Prato Centrale,Stazione Centrale di Prato,43.8773,11.1027,PO,,1,,Europe/Rome,1
83078,EMP,Empoli,Stazione di Empoli,43.7195,10.9461,FI,,1,,Europe/Rome,1
83079,SIE,Siena,Stazione di Siena,43.3188,11.3307,SI,,1,,Europe/Rome,1
83080,GRO,Grosseto,Stazione di Grosseto,42.7595,11.1091,GR,,1,,Europe/Rome,1
